410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
545,184.0,1288.0,1215.0,1390.0,176.0,96.0,266.0,53.0,110.0,112.0,887.0,95.0,264.0,333.0,399.0,623.0,233.0,5.17
550,175.0,1292.0,1208.0,1387.0,168.0,95.0,268.0,56.0,115.0,114.0,896.0,98.0,267.0,335.0,401.0,629.0,236.0,5.18
537,166.0,1294.0,1199.0,1370.0,165.0,88.0,247.0,52.0,108.0,105.0,851.0,92.0,237.0,304.0,367.0,609.0,226.0,5.2
607,212.0,1433.0,1356.0,1543.0,207.0,96.0,257.0,52.0,106.0,111.0,903.0,99.0,259.0,325.0,398.0,648.0,238.0,5.2
702,588.0,1678.0,1608.0,1817.0,598.0,104.0,204.0,28.0,69.0,102.0,1259.0,118.0,272.0,421.0,496.0,844.0,221.0,5.2
544,190.0,1299.0,1211.0,1379.0,175.0,92.0,261.0,52.0,108.0,108.0,889.0,97.0,253.0,321.0,384.0,626.0,233.0,5.21
550,175.0,1299.0,1218.0,1395.0,175.0,103.0,275.0,52.0,116.0,107.0,898.0,91.0,250.0,319.0,382.0,630.0,236.0,5.24
602,177.0,1413.0,1328.0,1522.0,185.0,99.0,279.0,53.0,127.0,102.0,966.0,86.0,240.0,304.0,360.0,640.0,250.0,5.3
566,178.0,1339.0,1251.0,1433.0,179.0,96.0,265.0,52.0,110.0,109.0,881.0,94.0,249.0,325.0,392.0,623.0,232.0,5.3
547,165.0,1281.0,1204.0,1377.0,164.0,103.0,278.0,56.0,119.0,113.0,893.0,95.0,263.0,332.0,398.0,630.0,236.0,5.36
544,189.0,1269.0,1201.0,1375.0,181.0,97.0,265.0,52.0,108.0,111.0,887.0,95.0,264.0,335.0,399.0,624.0,233.0,5.37
548,189.0,1289.0,1208.0,1386.0,179.0,95.0,266.0,53.0,109.0,114.0,900.0,99.0,267.0,338.0,402.0,631.0,235.0,5.39
551,179.0,1303.0,1218.0,1394.0,177.0,104.0,277.0,53.0,116.0,108.0,900.0,92.0,255.0,326.0,390.0,629.0,235.0,5.39
705,604.0,1642.0,1653.0,1850.0,611.0,102.0,203.0,28.0,69.0,102.0,1260.0,121.0,270.0,426.0,504.0,849.0,223.0,5.4
603,222.0,1429.0,1349.0,1540.0,213.0,97.0,252.0,51.0,104.0,110.0,944.0,101.0,256.0,330.0,397.0,648.0,235.0,5.4
526,169.0,1263.0,1207.0,1364.0,166.0,89.0,253.0,52.0,107.0,104.0,850.0,92.0,243.0,297.0,368.0,604.0,223.0,5.4
547,188.0,1298.0,1210.0,1376.0,174.0,90.0,258.0,51.0,107.0,108.0,881.0,96.0,247.0,317.0,382.0,622.0,232.0,5.42
